job,species,lat,lon,,
postdoc,sockeye salmon,59.4224,-158.8482,,research ongoing
postdoc,sockeye salmon,59.5546,-158.845,,research ongoing
postdoc,sockeye salmon,59.7481,-153.867,,research ongoing
postdoc,sockeye salmon,59.7995,-154.158,,research ongoing
postdoc,sockeye salmon,59.482315,-158.736056,,research ongoing
postdoc,sockeye salmon,60.340862,-157.329481,,research ongoing
postdoc,sockeye salmon,59.7464,-154.283,,research ongoing
postdoc,smallmouth bass,46.066806,-89.60486,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.176793,-91.175138,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.39417,-89.57956,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.567,-89.661,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.3088,-89.7249,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.183921,-90.617472,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,42.57183,-90.35655,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,42.85939,-90.2085,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.011358,-89.32442,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,42.966072,-89.253989,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,42.541777,-88.17504,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.723787,-87.848463,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.101784,-87.618451,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.014641,-87.710543,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,44.884794,-87.899299,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.544748,-89.306877,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,44.841261,-87.549761,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,44.883234,-87.433509,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.171078,-87.21514,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.413935,-87.350321,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.661304,-86.821376,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.341023,-86.934852,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.220445,-87.024158,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.090902,-87.90017,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,44.172918,-87.641016,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,44.761875,-85.623177,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,46.052598,-89.59097,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,43.740054,-87.75,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.942589,-86.222561,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,smallmouth bass,45.130734,-87.053,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10238,Euclide et al. 2020
postdoc,walleye,42.23422222,-83.1335,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,42.29494444,-83.09563889,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,42.46833333,-79.39983333,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.34858333,-83.11197222,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.55369444,-83.66055556,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.69694444,-83.13194444,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.66666667,-83.05694444,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.64916667,-82.96083333,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.66361111,-83.02222222,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.64055556,-83.09111111,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.65277778,-83.06805556,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.67361111,-82.97777778,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.6175,-83.00138889,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,41.65916667,-83.10916667,https://doi.org/10.1002/tafs.10215,Chen et al. 2020 
postdoc,walleye,42.561,-79.102,,research ongoing
postdoc,walleye,41.739,-81.276,,research ongoing
postdoc,walleye,42.885,-79.249,,research ongoing
postdoc,walleye,42.812,-78.859,,research ongoing
postdoc,walleye,42.315,-79.658,,research ongoing
postdoc,walleye,46.634,-90.661,,research ongoing
postdoc,walleye,44,-76.059,,research ongoing
postdoc,walleye,46.499,-89.578,,research ongoing
postdoc,walleye,46.275,-84.319,,research ongoing
postdoc,walleye,45.786,-87.023,,research ongoing
postdoc,walleye,42.599,-82.8,,research ongoing
postdoc,walleye,43.326,-86.055,,research ongoing
postdoc,walleye,43.9,-83.951,,research ongoing
postdoc,walleye,44.149,-77.212,,research ongoing
postdoc,walleye,48.915,-88.172,,research ongoing
postdoc,walleye,44.52,-87.99,,research ongoing
postdoc,walleye,43.2,-75.93,,research ongoing
postdoc,walleye,48.873,-88.442,,research ongoing
postdoc,walleye,45.115,-80.03,,research ongoing
